PL,MRP element data,Date,Need Dt,PO Message,Days of reschedule,  Material,Material description,Quantity,Qty to Cancel,MOQ,FCST Ref
Waiting Inv.,9690000892/00050,1/13/2023,1/24/2023,Reschedule out,11,30010JXG-001,"Complete-set Packing Material,30010JXG_D",15394,0,10000,202301
Waiting Inv.,9690001112/00020,1/17/2023,2/14/2023,Reschedule out,28,30010JXG-001,"Complete-set Packing Material,30010JXG_D",30000,0,10000,202303
Waiting Inv.,9690001112/00030,1/17/2023,2/14/2023,Reschedule out,28,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",2000,0,1000,202303
Waiting Inv.,9690001114/00010,1/13/2023,1/24/2023,Reschedule out,11,30040909,"Plastic bag,30040909_DRAEN,PE film bag,f",17000,0,1000,202302
Waiting Inv.,9690001127/00010,1/23/2023,2/14/2023,Reschedule out,22,PRHU0004,CORNER HORIZONTAL,189,0,1,202303
Waiting Inv.,9690001112/00050,1/17/2023,1/24/2023,Reschedule out,7,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",40000,0,10000,202302
Waiting Inv.,9690001157/00040,1/20/2023,1/24/2023,Reschedule out,4,PRHU0020,PALLET 1200 x 1000,209,0,1,202301
Waiting Inv.,9690001162/00020,1/13/2023,1/24/2023,Reschedule out,11,G2492-0000-06,ALPHA TELECORE HF850 SACX0307 0.8 mm,50000,0,0,202302
Waiting Inv.,9690001156/00090,1/23/2023,1/24/2023,Reschedule out,1,PRHU0003-B,Board,1000,0,1000,202302
Waiting Inv.,9690001157/00010,1/20/2023,1/24/2023,Reschedule out,4,30020511,Local Pallet,22,0,0,202301
Waiting Inv.,9690001157/00020,1/20/2023,1/24/2023,Reschedule out,4,30020511,Local Pallet,52,0,0,202302
Waiting Inv.,9690001157/00030,1/20/2023,1/24/2023,Reschedule out,4,30020511,Local Pallet,170,0,0,202302
Waiting Inv.,9690001156/00050,1/23/2023,2/14/2023,Reschedule out,22,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",1108,0,1000,202303
Waiting Inv.,9690001156/00060,1/13/2023,1/24/2023,Reschedule out,11,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",384,0,1000,202302
Waiting Inv.,9690001156/00030,1/20/2023,2/14/2023,Reschedule out,25,30010JXG-001,"Complete-set Packing Material,30010JXG_D",10567,0,10000,202303
Waiting Inv.,9690001156/00040,1/13/2023,1/24/2023,Reschedule out,11,30010JXG-001,"Complete-set Packing Material,30010JXG_D",78000,0,10000,202301
Waiting Inv.,9690001159/00030,11/16/2023,5/17/2023,Reschedule in,-183,PRHU0037,Etiqueta Adesiva 100x150mm Branca,1400,0,0,202306
Waiting Inv.,9690001168/00010,1/23/2023,Cancel PO,Cancel PO,Cancel PO,PRHU0034,"PAPER BUMPER REV.01, PN 30031AQF",1552,1552,10000,Excess
Waiting Inv.,9690001168/00030,1/23/2023,2/14/2023,Reschedule out,22,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",73595,0,10000,202303
Waiting Inv.,9690001169/00030,2/1/2023,3/17/2023,Reschedule out,44,SOLDERBAR001,Solder Bar SACX0307 Ind.,500000,0,0,202304
Waiting Inv.,9690001169/00050,2/1/2023,3/17/2023,Reschedule out,44,SOLDERBAR001,Solder Bar SACX0307 Ind.,225000,0,0,202304
Waiting Inv.,9690001159/00020,1/14/2023,1/24/2023,Reschedule out,10,31500GYH,EchoLife HG8145V5(mini) Quick Start-(V50,20605,0,0,202302
Waiting Inv.,9690001194/00010,1/16/2023,2/14/2023,Reschedule out,29,90110064,Solder Paste Lead free CVP390 SAC305 Typ,10000,0,1,202303
Waiting Inv.,9690001195/00010,1/11/2023,1/24/2023,Reschedule out,13,PRHU0004,CORNER HORIZONTAL,660,0,1,202302
Waiting Inv.,9690001196/00010,1/23/2023,2/14/2023,Reschedule out,22,PRHU0020,PALLET 1200 x 1000,6,0,1,202303
Waiting Inv.,9690001197/00010,1/11/2023,3/17/2023,Reschedule out,65,PRHU0037,Etiqueta Adesiva 100x150mm Branca,900,0,0,202304
Waiting Inv.,9690001198/00010,1/18/2023,1/24/2023,Reschedule out,6,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",20000,0,10000,202302
Waiting Inv.,9690001195/00020,1/18/2023,2/14/2023,Reschedule out,27,PRHU0040,Corner 70 x 70 x 5.0 x 1.10 CM,1000,0,1000,202303
Waiting Inv.,9690001199/00010,1/11/2023,2/14/2023,Reschedule out,34,SOLDERBAR001,Solder Bar SACX0307 Ind.,117000,0,0,202303
Waiting Inv.,9690001237/00040,1/27/2023,1/24/2023,Reschedule in,-3,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,12960,0,60000,202301
Waiting Inv.,9690001237/00050,2/3/2023,1/24/2023,Reschedule in,-10,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,18720,0,60000,202302
Waiting Inv.,9690001238/00010,2/6/2023,1/24/2023,Reschedule in,-13,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,9360,0,60000,202302
Waiting Inv.,9690001238/00020,2/10/2023,1/24/2023,Reschedule in,-17,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,9360,0,60000,202302
Waiting Inv.,9690001238/00030,2/13/2023,1/24/2023,Reschedule in,-20,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,9360,0,60000,202302
Waiting Inv.,9690001238/00040,2/17/2023,1/24/2023,Reschedule in,-24,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,9360,0,60000,202302
Waiting Inv.,9690001238/00050,2/24/2023,2/14/2023,Reschedule in,-10,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,10080,0,60000,202303
Waiting Inv.,9690001238/00060,3/3/2023,2/14/2023,Reschedule in,-17,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,18720,0,60000,202303
Waiting Inv.,9690001236/00010,1/25/2023,1/24/2023,Reschedule in,-1,90020311,"Liquid Manufactory Auxiliaries,Two-part",10000,0,4000,202302
Waiting Inv.,9690001264/00010,4/21/2023,4/16/2023,Reschedule in,-5,2221912,"Adapter,-5degC,45degC,90V,264V,12V/1A",1000,0,0,202305
Waiting Inv.,9690001264/00020,4/28/2023,4/16/2023,Reschedule in,-12,2221912,"Adapter,-5degC,45degC,90V,264V,12V/1A",10000,0,0,202305
Waiting Inv.,9690001264/00030,5/5/2023,4/16/2023,Reschedule in,-19,2221912,"Adapter,-5degC,45degC,90V,264V,12V/1A",15000,0,0,202305
Waiting Inv.,9690001265/00010,3/17/2023,3/17/2023,Ok,0,02221912-L,"Adapter,-5degC,45degC,90V,264V,12V/1A",600,0,0,202304
Waiting Inv.,9690001265/00020,4/28/2023,4/16/2023,Reschedule in,-12,02221912-L,"Adapter,-5degC,45degC,90V,264V,12V/1A",18900,0,0,202305
Waiting Inv.,9690001265/00030,5/5/2023,4/16/2023,Reschedule in,-19,02221912-L,"Adapter,-5degC,45degC,90V,264V,12V/1A",14000,0,0,202305
Waiting Inv.,9690001268/00010,4/21/2023,4/16/2023,Reschedule in,-5,02221912-U,"Adapter,-5degC,45degC,90V,264V,12V/1A",8640,0,0,202305
Waiting Inv.,9690001268/00020,4/28/2023,4/16/2023,Reschedule in,-12,02221912-U,"Adapter,-5degC,45degC,90V,264V,12V/1A",8640,0,0,202305
Waiting Inv.,9690001269/00010,2/15/2023,1/24/2023,Reschedule in,-22,31500GYH,EchoLife HG8145V5(mini) Quick Start-(V50,78300,0,0,202302
Waiting Inv.,9690001269/00020,3/15/2023,2/14/2023,Reschedule in,-29,31500GYH,EchoLife HG8145V5(mini) Quick Start-(V50,65000,0,0,202303
Waiting Inv.,9690001269/00030,4/15/2023,3/17/2023,Reschedule in,-29,31500GYH,EchoLife HG8145V5(mini) Quick Start-(V50,60000,0,0,202304
Waiting Inv.,9690001260/00010,2/15/2023,1/24/2023,Reschedule in,-22,90020419,"Liquid Manufactory Auxiliaries,Two-part",11000,0,4000,202302
Waiting Inv.,9690001260/00020,4/14/2023,4/16/2023,Reschedule out,2,90020419,"Liquid Manufactory Auxiliaries,Two-part",7000,0,4000,202305
Waiting Inv.,9690001279/00010,2/14/2023,2/14/2023,Ok,0,90110064,Solder Paste Lead free CVP390 SAC305 Typ,54000,0,1,202303
Waiting Inv.,9690001279/00020,3/14/2023,3/17/2023,Reschedule out,3,90110064,Solder Paste Lead free CVP390 SAC305 Typ,61000,0,1,202304
Waiting Inv.,9690001279/00030,4/14/2023,3/17/2023,Reschedule in,-28,90110064,Solder Paste Lead free CVP390 SAC305 Typ,58000,0,1,202304
Waiting Inv.,9690001277/00040,3/14/2023,2/14/2023,Reschedule in,-28,PRHU0020,PALLET 1200 x 1000,20,0,1,202303
Waiting Inv.,9690001280/00010,2/15/2023,2/14/2023,Reschedule in,-1,G2492-0000-06,ALPHA TELECORE HF850 SACX0307 0.8 mm,20000,0,0,202303
Waiting Inv.,9690001280/00020,3/14/2023,3/17/2023,Reschedule out,3,G2492-0000-06,ALPHA TELECORE HF850 SACX0307 0.8 mm,28000,0,0,202304
Waiting Inv.,9690001280/00030,4/14/2023,3/17/2023,Reschedule in,-28,G2492-0000-06,ALPHA TELECORE HF850 SACX0307 0.8 mm,27000,0,0,202304
Waiting Inv.,9690001283/00010,3/15/2023,3/17/2023,Reschedule out,2,PRHU0013,METAL STAMP,1500,0,1500,202304
Waiting Inv.,9690001281/00010,3/14/2023,2/14/2023,Reschedule in,-28,PRHU0004,CORNER HORIZONTAL,380,0,1,202303
Waiting Inv.,9690001281/00020,4/14/2023,3/17/2023,Reschedule in,-28,PRHU0004,CORNER HORIZONTAL,384,0,1,202304
Waiting Inv.,9690001277/00010,1/30/2023,1/24/2023,Reschedule in,-6,30020511,Local Pallet,50,0,0,202302
Waiting Inv.,9690001277/00020,2/14/2023,2/14/2023,Ok,0,30020511,Local Pallet,75,0,0,202303
Waiting Inv.,9690001277/00030,3/14/2023,3/17/2023,Reschedule out,3,30020511,Local Pallet,150,0,0,202304
Waiting Inv.,9690001277/00050,4/14/2023,3/17/2023,Reschedule in,-28,30020511,Local Pallet,90,0,0,202304
Waiting Inv.,9690001276/00040,1/15/2023,1/24/2023,Reschedule out,9,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",3000,0,1000,202302
Waiting Inv.,9690001276/00050,2/15/2023,2/14/2023,Reschedule in,-1,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",3000,0,1000,202303
Waiting Inv.,9690001276/00060,3/14/2023,3/17/2023,Reschedule out,3,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",2000,0,1000,202304
Waiting Inv.,9690001276/00110,4/14/2023,4/16/2023,Reschedule out,2,30031BBU,"Paper Package,30031BBU_DRAen,Slotted Car",1000,0,1000,202305
Waiting Inv.,9690001278/00010,2/14/2023,2/14/2023,Ok,0,30040909,"Plastic bag,30040909_DRAEN,PE film bag,f",75000,0,1000,202303
Waiting Inv.,9690001278/00020,3/14/2023,3/17/2023,Reschedule out,3,30040909,"Plastic bag,30040909_DRAEN,PE film bag,f",55000,0,1000,202304
Waiting Inv.,9690001278/00030,4/14/2023,3/17/2023,Reschedule in,-28,30040909,"Plastic bag,30040909_DRAEN,PE film bag,f",50000,0,1000,202304
Waiting Inv.,9690001276/00010,1/15/2023,1/24/2023,Reschedule out,9,30010JXG-001,"Complete-set Packing Material,30010JXG_D",50000,0,10000,202302
Waiting Inv.,9690001276/00100,2/15/2023,2/14/2023,Reschedule in,-1,30010JXG-001,"Complete-set Packing Material,30010JXG_D",40000,0,10000,202303
Waiting Inv.,9690001276/00020,3/15/2023,3/17/2023,Reschedule out,2,30010JXG-001,"Complete-set Packing Material,30010JXG_D",50000,0,10000,202304
Waiting Inv.,9690001276/00030,4/14/2023,4/16/2023,Reschedule out,2,30010JXG-001,"Complete-set Packing Material,30010JXG_D",30000,0,10000,202305
Waiting Inv.,9690001284/00010,1/9/2023,3/17/2023,Reschedule out,67,PRHU0037,Etiqueta Adesiva 100x150mm Branca,6200,0,0,202304
Waiting Inv.,9690001284/00020,2/14/2023,3/17/2023,Reschedule out,31,PRHU0037,Etiqueta Adesiva 100x150mm Branca,2500,0,0,202304
Waiting Inv.,9690001284/00030,3/14/2023,4/16/2023,Reschedule out,33,PRHU0037,Etiqueta Adesiva 100x150mm Branca,5000,0,0,202305
Waiting Inv.,9690001284/00040,4/14/2023,4/16/2023,Reschedule out,2,PRHU0037,Etiqueta Adesiva 100x150mm Branca,3000,0,0,202305
Waiting Inv.,9690001276/00070,1/15/2023,1/24/2023,Reschedule out,9,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",50000,0,10000,202301
Waiting Inv.,9690001276/00080,2/15/2023,3/17/2023,Reschedule out,30,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",30000,0,10000,202304
Waiting Inv.,9690001276/00090,3/14/2023,3/17/2023,Reschedule out,3,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",50000,0,10000,202304
Waiting Inv.,9690001276/00120,4/14/2023,4/16/2023,Reschedule out,2,PRHU0038,"Paper bumper Rev.00, Model 02313KTC-1",30000,0,10000,202305
Waiting Inv.,9690001281/00030,3/14/2023,3/17/2023,Reschedule out,3,PRHU0040,Corner 70 x 70 x 5.0 x 1.10 CM,2000,0,1000,202304
