Concat,"VLOOKUP(A2,[BRA2022111050006_INV_INV.xlsx]SISFAC!$R:$R,1,0)",Concat POLine,Project,PO,PN,PO Line,Description, Qty ,Unit price,Total,Plant,Concatenate,Huawei commitment (CPD),PL,ETA Foxconn,Modal,Status,Were used,Forecast
966000077203015BCM5000EMS02Q20000372HWA0015K,#N/A,9.66E+11,ONT,9660000772,03015BCM,10,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",5000,3.5934,"17,967.00", 451U , 966000077203015BCM5000 ,11/6/2021,EMS02Q20000372HWA0015K,1/3/2022, AIR ,Delivered,03029TTY,7/1/2021
966000077203015BCM4950EMS02Q20000372HWA0011K,#N/A,9.66E+13,ONT,9660000772,03015BCM,1280,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",4950,3.5394,"17,520.03", 451U , 966000077203015BCM4950 ,11/7/2021,EMS02Q20000372HWA0011K,1/3/2022, AIR ,Delivered,03029TTY,7/1/2021
966000079603015BCM10000EMS02Q20000394HWA0019K,#N/A,9.66E+11,ONT,9660000796,03015BCM,10,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",10000,3.5394,"35,394.00", 451U , 966000079603015BCM10000 ,6/12/2021,EMS02Q20000394HWA0019K,2/1/2022, AIR ,Delivered,02313KTC-1,8/1/2021
966000085803015BCM100EMS02Q20000442HWA0004H,#N/A,9.66E+12,ONT,9660000858,03015BCM,120,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",100,3.5394,353.94, 451U , 966000085803015BCM100 ,10/17/2021,EMS02Q20000442HWA0004H,1/4/2022, SEA ,Delivered,02313KTC-1,11/1/2021
966000087203013XVB10000EMS02Q20000451HWA0027H,#N/A,9.66E+11,ONT,9660000872,03013XVB,10,PCB EchoLife ONT HG8245WC GPON Terminal,10000,2.229,"22,290.00", 451U , 966000087203013XVB10000 ,10/30/2021,EMS02Q20000451HWA0027H,1/5/2022, SEA ,Delivered,02313BFA-2,12/1/2021
966000087203013XVB8720EMS02Q20000451HWA0028H,#N/A,9.66E+12,ONT,9660000872,03013XVB,390,PCB EchoLife ONT HG8245WC GPON Terminal,8720,2.229,"19,436.88", 451U , 966000087203013XVB8720 ,10/30/2021,EMS02Q20000451HWA0028H,1/5/2022, SEA ,Delivered,02313BFA-2,12/1/2021
96600009070405050510000EMS02Q20000474HWA0062H,#N/A,9.66E+11,ONT,9660000907,4050505,20,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,11/5/2021,EMS02Q20000474HWA0062H,1/5/2022, SEA ,Delivered,02313BFA-2,1/1/2022
96600009070405050510000EMS02Q20000474HWA0063H,#N/A,9.66E+12,ONT,9660000907,4050505,780,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,11/27/2021,EMS02Q20000474HWA0063H,1/21/2022, SEA ,Delivered,02313BFA-2,1/1/2022
96600009070405050510000EMS02Q20000474HWA0055H,#N/A,9.66E+12,ONT,9660000907,4050505,790,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,10/27/2021,EMS02Q20000474HWA0055H,1/4/2022, SEA ,Delivered,02313BFA-2,1/1/2022
9660000910210806589TBD,#N/A,9.66E+11,ONT,9660000910,21080658,10,Sheet metal shielding protective shell-2,9,0.1922,1.7298, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910210806591TBD,#N/A,9.66E+11,ONT,9660000910,21080659,20,Sheet metal shielding protective shell-2,1,0.1933,0.1933, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910211261221TBD,#N/A,9.66E+11,ONT,9660000910,21126122,30,Small sheet metal hardware-21126122_DRAE,1,0.7056,0.7056, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910260202111000TBD,#N/A,9.66E+11,ONT,9660000910,26020211,40,SMT nut,1000,0.0586,58.6, 451U ,9.66E+21,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009102701392411TBD,#N/A,9.66E+11,ONT,9660000910,27013924,50,Omnidirectional antenna-2.4GHz~2.5GHz-2d,11,0.1592,1.7512, 451U ,9.66E+19,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910270139255TBD,#N/A,9.66E+11,ONT,9660000910,27013925,60,Omnidirectional antenna-2.4GHz~2.5GHz-2d,5,0.1545,0.7725, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009102701392625TBD,#N/A,9.66E+11,ONT,9660000910,27013926,70,Omnidirectional antenna-5.1GHz~5.9GHz-2d,25,0.1464,3.66, 451U ,9.66E+19,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009102701392726TBD,#N/A,9.66E+11,ONT,9660000910,27013927,80,Omnidirectional antenna-5.1GHz~5.9GHz-2d,26,0.1557,4.0482, 451U ,9.66E+19,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910270139289TBD,#N/A,9.66E+11,ONT,9660000910,27013928,90,Omnidirectional antenna-5.1GHz~5.9GHz-2d,9,0.1487,1.3383, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
