MRP - PO Suggestion

	Purch.doc.	Item	Vendor	Vendor Name	Material	      Quantity	Deliv.date	Material description	Plnt	Exception message	Excep.msg.	Curr.	        Net price	OPUn	     GR Qty.	ABC	 PDT	SafetyTime	GRT	IPT	Ship Date	PGr	Purch. gp.	Item text	Del. text	PO creatio	ETD.Seq.nu	ETD	Confirmed.	Invoice	Last chang	User name	ETD Status	ETD Status Text

	4500732734	  10	M0006	YUNI (HK) LIMITED	IMPRMAO000950	        1.000	10/15/2023	Reflow Oven - Model: RNS-1240	451K			USD	   81,800.000000	PC	      0.000		  0		 0	 0	10/15/2023	M64	MILANA M. DE SOUZA			07/20/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  10	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1008000164	   25,550.000	07/26/2023	IC, Memory, DDR3L, 1866Mhz, 4Gb, 256Mx16	461B	Reschedule in (06/04/23)		USD	        0.941000	PC	      0.000		 60	        60	 0	 0	03/28/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  20	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1010000160	   25,032.000	07/26/2023	IC, SoC, Secure, 1080P only, RTD1312C	461B	Reschedule out (08/03/23)		USD	        3.970000	PC	      0.000		  0		 0	 0	07/26/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  30	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1020000002	   25,032.000	07/26/2023	IC, WIFI DUAL BAND, 1x1 BGN, RTL8731BU,	461B	Reschedule out (08/03/23)		USD	        1.100000	PC	      0.000		  0		 0	 0	07/26/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  40	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1020000006	   48,000.000	07/26/2023	Ant, Dual Band, Chip, 1.6x0.8mm	461B	Reschedule out (08/03/23)		USD	        0.050000	PC	      0.000		  0		 0	 0	07/26/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  50	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1100000068	   27,000.000	07/26/2023	REG,ChargePumpBoost,5V,110mA,TSOT"	461B	Reschedule out (09/02/23)		USD	        0.092500	PC	      0.000		  0		 0	 0	07/26/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  60	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1130000357	   26,000.000	07/26/2023	LED, WHITE/RED, SMT, CHIP, 57-112MCD BRA	461B	Reschedule in (06/05/23)		USD	        0.024900	PC	      0.000		 60	        60	 0	 0	03/28/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  70	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1130000472	   27,600.000	07/26/2023	IR Receiver, Nemo, 38KHz, SMT, high sens	461B	Reschedule in (06/05/23)		USD	        0.157220	PC	      0.000		 60	        60	 0	 0	03/28/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
	4700012586	  80	MROCLOUD	CLOUD NETWORK TECHNOLOGY SINGAPORE	RU1130000502	   78,000.000	07/26/2023	IC, Reg, Switcher, Step-Down, 1A, Adj Ou	461B	Reschedule out (08/01/23)		USD	        0.047500	PC	      0.000		  0		 0	 0	07/26/2023	M64	MILANA M. DE SOUZA			04/26/2023			    0.000				WA	Waiting Acknowledgment
