Invoices,Item,Part Number,Country of Origin,Qty,Unit,UnPrice,AMOUNT
TVC23000034,1,2053501293,China,1804,PCS,2.860909,5161.08
TVC23000034,2,2101500099,China,1800,PCS,2.756022,4960.84
TVC23000034,3,2104500105,"Taiwan,China",1800,PCS,1.413728,2544.71
TVC23000034,4,2150500142,China,800,PCS,3.310061,2648.05
TVC23000034,5,2150500142,"Taiwan,China",1000,PCS,3.310061,3310.06
TVC23000034,6,2153500101,Malaysia,1802,PCS,0.033751,60.82
TVC23000034,7,2156500271,China,1803,PCS,0.050948,91.86
TVC23000034,8,2156500292,China,1803,PCS,0.043001,77.53
TVC23000034,9,2156500386,China,1803,PCS,0.422035,760.93
TVC23000034,10,2156500388,China,1803,PCS,0.185585,334.61
TVC23000034,11,2157500048,China,1804,PCS,0.137761,248.52
TVC23000034,12,2160500603,"Taiwan,China",1801,PCS,1.515325,2729.1
TVC23000034,13,2162500678,"Taiwan,China",1801,PCS,0.593354,1068.63
TVC23000034,14,2166500021,China,1801,PCS,0.317229,571.33
TVC23000034,15,2200500003,China,15000,PCS,0.000245,3.68
TVC23000034,16,2200500005,China,60000,PCS,0.000292,17.52
TVC23000034,17,2200500010,China,105000,PCS,0.000237,24.89
TVC23000034,18,2200500021,China,15000,PCS,0.000295,4.43
TVC23000034,19,2200500022,China,15000,PCS,0.000306,4.59
TVC23000034,20,2200500024,China,15000,PCS,0.000306,4.59
TVC23000034,21,2200500027,China,60000,PCS,0.000243,14.58
TVC23000034,22,2200500031,China,15000,PCS,0.000292,4.38
TVC23000034,23,2200500035,China,15000,PCS,0.000299,4.49
TVC23000034,24,2200500036,China,15000,PCS,0.000244,3.66
TVC23000034,25,2200500042,China,15000,PCS,0.000239,3.59
TVC23000034,26,2200500047,China,15000,PCS,0.000306,4.59
TVC23000034,27,2200500050,China,15000,PCS,0.000295,4.43
TVC23000034,28,2200500059,China,15000,PCS,0.000236,3.54
TVC23000034,29,2200500061,China,15000,PCS,0.000245,3.68
TVC23000034,30,2200500084,China,15000,PCS,0.000245,3.68
TVC23000034,31,2200500086,China,60000,PCS,0.000206,12.36
TVC23000034,32,2200500100,China,15000,PCS,0.000245,3.68
TVC23000034,33,2200500101,China,30000,PCS,0.000296,8.88
TVC23000034,34,2200500141,China,30000,PCS,0.000232,6.96
TVC23000034,35,2200500142,China,15000,PCS,0.000271,4.07
TVC23000034,36,2201500002,China,10000,PCS,0.000168,1.68
TVC23000034,37,2201500004,China,20000,PCS,0.000188,3.76
TVC23000034,38,2201500025,China,10000,PCS,0.00019,1.9
TVC23000034,39,2201500039,China,10000,PCS,0.00019,1.9
TVC23000034,40,2201500041,China,10000,PCS,0.000167,1.67
TVC23000034,41,2201500049,China,10000,PCS,0.000168,1.68
TVC23000034,42,2201500052,China,10000,PCS,0.000169,1.69
TVC23000034,43,2201500053,China,10000,PCS,0.0002,2
TVC23000034,44,2201500064,China,10000,PCS,0.0002,2
TVC23000034,45,2201500065,China,10000,PCS,0.0002,2
TVC23000034,46,2201500091,China,10000,PCS,0.0002,2
TVC23000034,47,2201500277,China,10000,PCS,0.000211,2.11
TVC23000034,48,2201500289,China,10000,PCS,0.0002,2
TVC23000034,49,2201500298,China,10000,PCS,0.0002,2
TVC23000034,50,2201500329,China,10000,PCS,0.0002,2
TVC23000034,51,2201500330,China,10000,PCS,0.0002,2
TVC23000034,52,2201500343,China,10000,PCS,0.000211,2.11
TVC23000034,53,2201500354,China,10000,PCS,0.000199,1.99
TVC23000034,54,2201500362,China,10000,PCS,0.000199,1.99
TVC23000034,55,2201500379,China,10000,PCS,0.000216,2.16
TVC23000034,56,2201500384,China,10000,PCS,0.0002,2
TVC23000034,57,2201500407,China,10000,PCS,0.0002,2
TVC23000034,58,2201500420,China,10000,PCS,0.0002,2
TVC23000034,59,2201500502,China,10000,PCS,0.0002,2
TVC23000034,60,2202500001,China,20000,PCS,0.000369,7.38
TVC23000034,61,2202500460,China,5000,PCS,0.000366,1.83
TVC23000034,62,2203500001,China,10000,PCS,0.000625,6.25
TVC23000034,63,2203500077,China,10000,PCS,0.00058,5.8
TVC23000034,64,2203500095,China,5000,PCS,0.000666,3.33
TVC23000034,65,2204500035,China,5000,PCS,0.001116,5.58
TVC23000034,66,2300500010,China,30000,PCS,0.000292,8.76
TVC23000034,67,2300500014,China,15000,PCS,0.000291,4.37
TVC23000034,68,2300500016,China,240000,PCS,0.00036,86.4
TVC23000034,69,2300500017,China,30000,PCS,0.000289,8.67
TVC23000034,70,2300500021,China,15000,PCS,0.00029,4.35
TVC23000034,71,2300500023,China,15000,PCS,0.00029,4.35
TVC23000034,72,2300500031,Malaysia,30000,PCS,0.000978,29.34
TVC23000034,73,2300500033,China,30000,PCS,0.000288,8.64
TVC23000034,74,2300500034,China,15000,PCS,0.000294,4.41
TVC23000034,75,2300500139,Japan,15000,PCS,0.001232,18.48
TVC23000034,76,2300500140,Japan,30000,PCS,0.001219,36.57
TVC23000034,77,2300500142,Japan,30000,PCS,0.001217,36.51
TVC23000034,78,2300500152,Japan,15000,PCS,0.000654,9.81
TVC23000034,79,2300500159,Japan,15000,PCS,0.000642,9.63
TVC23000034,80,2300500162,Japan,15000,PCS,0.000644,9.66
TVC23000034,81,2300500163,Japan,15000,PCS,0.000642,9.63
TVC23000034,82,2300500167,Japan,45000,PCS,0.000648,29.16
TVC23000034,83,2300500169,Japan,30000,PCS,0.000646,19.38
TVC23000034,84,2300500174,Japan,15000,PCS,0.001221,18.32
TVC23000034,85,2300500175,Japan,15000,PCS,0.001271,19.07
TVC23000034,86,2300500178,Japan,30000,PCS,0.001221,36.63
TVC23000034,87,2300500180,Japan,15000,PCS,0.001237,18.56
TVC23000034,88,2300500192,China,15000,PCS,0.000263,3.95
TVC23000034,89,2300500194,Japan,15000,PCS,0.001275,19.13
TVC23000034,90,2301500074,China,10000,PCS,0.000329,3.29
TVC23000034,91,2301500075,China,10000,PCS,0.000365,3.65
TVC23000034,92,2301500114,China,10000,PCS,0.000325,3.25
TVC23000034,93,2301500174,China,10000,PCS,0.000377,3.77
TVC23000034,94,2301500255,China,10000,PCS,0.001267,12.67
TVC23000034,95,2301500256,China,10000,PCS,0.00216,21.6
TVC23000034,96,2301500311,Philippines,10000,PCS,0.002047,20.47
TVC23000034,97,2301500324,China,10000,PCS,0.000462,4.62
TVC23000034,98,2301500349,China,30000,PCS,0.000901,27.03
